month,region,????,?????,????,???????,????,?????,????,???????,????
2015?2?,??,"7,461,646",-12.7,"2,643,245,650",2.4,"2,289,532",-16.7,"7,760,014,000",4.4,"5,172,114"
2015?3?,??,"11,289,799",-13.4,"4,163,979,703",5.0,"3,428,879",-16.7,"11,469,937,784",2.3,"7,860,920"
2015?4?,??,"15,343,015",-13.3,"5,735,822,972",4.3,"4,545,977",-19.2,"15,217,546,419",-0.8,"10,797,038"
2015?5?,??,"19,126,542",-13.0,"7,164,915,705",5.0,"5,497,097",-21.6,"18,547,327,765",-4.3,"13,629,445"
2015?6?,??,"22,686,615",-12.1,"8,640,838,690",6.2,"6,519,635",-22.9,"22,033,858,015",-6.6,"16,166,980"
2015?7?,??,"26,304,369",-12.3,"10,155,897,100",5.6,"7,594,959",-22.7,"26,286,853,949",-3.7,"18,709,410"
2015?8?,??,"29,749,982",-12.3,"11,733,652,377",7.3,"8,547,968",-23.1,"29,538,518,407",-4.5,"21,202,014"
2015?9?,??,"33,295,224",-13.0,"13,190,918,654",6.7,"9,535,586",-22.9,"33,475,415,815",-2.7,"23,759,638"
2015?10?,??,"37,257,862",-13.2,"14,699,066,972",6.7,"10,565,444",-22.8,"37,141,607,213",-3.2,"26,692,418"
2015?11?,??,"40,489,397",-14.5,"16,163,095,796",6.7,"11,515,081",-22.7,"40,217,173,602",-4.5,"28,974,316"
2015?12?,??,"43,458,454",-15.6,"17,709,781,450",6.8,"12,503,429",-22.1,"43,925,386,967",-3.8,"30,955,025"
2014?,??,"51,476,345",-4.3,"16,579,827,386",5.4,"16,057,397",-6.5,"45,662,445,451",8.7,"35,418,948"
2014?1?,??,"4,458,049",0.3,"1,315,009,897",-1.2,"1,431,991",1.4,"3,640,048,845",10.0,"3,026,058"
2014?2?,??,"8,544,177",2.1,"2,582,354,736",0.4,"2,750,095",-3.6,"7,431,383,416",6.8,"5,794,082"
2014?3?,??,"13,039,748",2.0,"3,965,066,389",3.0,"4,113,868",-5.4,"11,213,416,597",6.1,"8,925,880"
2014?4?,??,"17,689,065",2.2,"5,501,060,021",8.0,"5,628,012",-3.7,"15,340,801,082",5.9,"12,061,053"
2014?5?,??,"21,993,268",-1.3,"6,823,272,150",6.2,"7,007,607",-4.8,"19,372,058,741",9.5,"14,985,661"
2014?6?,??,"25,803,191",-2.2,"8,139,858,334",5.7,"8,454,847",-3.4,"23,601,724,756",12.3,"17,348,344"
2014?7?,??,"30,009,304",-1.9,"9,619,720,945",7.4,"9,821,182",-3.7,"27,300,138,462",10.7,"20,188,122"
2014?8?,??,"33,908,040",-2.7,"10,937,956,794",6.7,"11,114,399",-4.6,"30,941,162,398",11.1,"22,793,641"
2014?9?,??,"38,274,057",-2.5,"12,360,276,803",7.3,"12,370,706",-4.6,"34,407,756,545",11.2,"25,903,351"
2014?10?,??,"42,921,132",-3.9,"13,769,633,133",6.9,"13,683,321",-5.3,"38,384,676,648",10.1,"29,237,811"
2014?11?,??,"47,349,012",-4.3,"15,141,989,135",6.2,"14,894,022",-5.9,"42,131,909,625",8.7,"32,454,990"
2014?12?,??,"51,476,345",-4.3,"16,579,827,386",5.4,"16,057,397",-6.5,"45,662,445,451",8.7,"35,418,948"
2013?,??,"53,764,598",3.2,"15,723,396,549",-2.6,"17,180,633",-13.0,"41,995,007,148",-4.1,"36,583,965"
2013?1?,??,"4,443,031",16.6,"1,331,314,459",-0.2,"1,412,890",-18.9,"3,308,085,165",-10.2,"3,030,141"
2013?2?,??,"8,367,971",6.3,"2,571,014,965",-5.6,"2,854,052",-17.4,"6,961,421,512",-7.4,"5,513,919"
2013?3?,??,"12,785,123",6.7,"3,851,062,162",-5.4,"4,349,656",-16.1,"10,571,403,570",-7.9,"8,435,467"
2013?4?,??,"17,300,642",8.4,"5,091,661,588",-5.8,"5,846,572",-13.8,"14,480,134,806",-0.4,"11,454,070"
2013?5?,??,"22,284,007",10.2,"6,424,523,124",-5.1,"7,357,959",-14.0,"17,683,828,962",-5.4,"14,926,048"
2013?6?,??,"26,371,180",8.0,"7,703,568,802",-4.2,"8,748,099",-14.8,"21,014,464,256",-6.1,"17,623,081"
2013?7?,??,"30,582,803",7.1,"8,957,272,294",-3.8,"10,196,471",-14.6,"24,665,305,826",-5.8,"20,386,332"
2013?8?,??,"34,836,433",6.5,"10,252,364,340",-3.0,"11,653,350",-13.6,"27,861,084,990",-5.6,"23,183,083"
2013?9?,??,"39,242,518",4.8,"11,524,375,435",-3.2,"12,970,951",-13.9,"30,928,876,331",-6.2,"26,271,567"
2013?10?,??,"44,665,240",5.2,"12,881,314,159",-3.1,"14,452,277",-13.4,"34,856,336,971",-4.9,"30,212,963"
2013?11?,??,"49,486,319",3.8,"14,258,488,450",-3.1,"15,829,168",-13.8,"38,763,743,268",-4.3,"33,657,151"
2013?12?,??,"53,764,598",3.2,"15,723,396,549",-2.6,"17,180,633",-13.0,"41,995,007,148",-4.1,"36,583,965"
2012?,??,"52,108,655",0.0,"16,137,800,797",5.4,"19,742,414",-15.1,"43,797,897,231",-4.6,"32,366,241"
2012?1?,??,"3,811,460",-11.0,"1,333,945,467",8.4,"1,741,401",2.3,"3,683,412,330",3.5,"2,070,059"
2012?2?,??,"7,870,882",-4.0,"2,724,326,512",17.5,"3,456,882",-1.4,"7,520,951,241",-1.5,"4,414,000"
2012?3?,??,"11,977,298",-3.3,"4,072,570,239",17.3,"5,187,118",-6.0,"11,473,290,205",0.0,"6,790,180"
2012?4?,??,"15,955,395",-4.5,"5,403,932,573",16.3,"6,780,572",-11.2,"14,536,342,128",-7.0,"9,174,823"
2012?5?,??,"20,226,216",-3.8,"6,771,235,782",16.5,"8,556,072",-10.7,"18,701,904,731",-0.8,"11,670,144"
2012?6?,??,"24,426,975",-3.4,"8,040,284,124",15.5,"10,271,302",-12.5,"22,369,412,896",-3.4,"14,155,673"
2012?7?,??,"28,547,080",-4.0,"9,308,197,468",13.3,"11,934,184",-13.4,"26,186,477,353",-3.0,"16,612,896"
2012?8?,??,"32,698,179",-4.5,"10,568,405,459",9.9,"13,491,025",-15.4,"29,503,763,132",-5.3,"19,207,154"
2012?9?,??,"37,452,568",-3.8,"11,907,184,857",7.4,"15,072,366",-15.7,"32,987,979,936",-6.1,"22,380,202"
2012?10?,??,"42,463,810",-2.2,"13,291,600,918",7.5,"16,681,503",-14.7,"36,660,824,014",-3.9,"25,782,307"
2012?11?,??,"47,665,678",-0.5,"14,708,937,957",6.9,"18,352,782",-14.3,"40,515,105,040",-3.9,"29,312,896"
2012?12?,??,"52,108,655",0.0,"16,137,800,797",5.4,"19,742,414",-15.1,"43,797,897,231",-4.6,"32,366,241"
2011?,??,"52,129,405",16.0,"15,312,501,863",18.0,"23,241,845",20.5,"45,889,369,958",3.7,"28,887,560"
2011?1?,??,"4,283,388",32.9,"1,230,679,584",29.6,"1,702,007",19.4,"3,558,850,171",-12.3,"2,581,381"
2011?2?,??,"8,199,082",29.9,"2,318,334,148",26.5,"3,507,693",29.7,"7,634,656,903",1.7,"4,691,389"
2011?3?,??,"12,392,328",23.7,"3,473,285,243",16.9,"5,520,833",30.9,"11,470,761,204",0.0,"6,871,495"
2011?4?,??,"16,699,598",22.9,"4,644,643,127",14.0,"7,634,192",33.0,"15,624,696,131",3.6,"9,065,406"
2011?5?,??,"21,027,690",22.8,"5,811,956,069",13.6,"9,585,664",32.5,"18,843,424,523",3.3,"11,442,026"
2011?6?,??,"25,281,016",22.8,"6,960,561,498",13.1,"11,742,071",30.7,"23,153,307,598",3.3,"13,538,945"
2011?7?,??,"29,737,062",22.7,"8,216,118,420",14.6,"13,774,518",28.4,"26,996,986,159",2.9,"15,962,544"
2011?8?,??,"34,253,845",22.8,"9,617,246,960",17.4,"15,949,961",29.4,"31,149,316,693",5.7,"18,303,884"
2011?9?,??,"38,919,931",22.4,"11,090,577,079",19.2,"17,884,168",28.8,"35,140,940,840",8.7,"21,035,763"
2011?10?,??,"43,423,045",19.6,"12,363,405,320",17.5,"19,545,858",25.2,"38,147,367,660",5.8,"23,877,187"
2011?11?,??,"47,888,365",17.4,"13,763,030,403",17.8,"21,413,876",22.5,"42,153,231,727",4.1,"26,474,489"
2011?12?,??,"52,129,405",16.0,"15,312,501,863",18.0,"23,241,845",20.5,"45,889,369,958",3.7,"28,887,560"
2010?,??,"44,936,988",16.7,"12,976,496,674",9.1,"19,295,459",32.5,"44,234,729,399",10.7,"25,641,529"
2010?1?,??,"3,221,839",13.6,"949,727,629",25.2,"1,425,275",22.8,"4,059,490,655",29.3,"1,796,564"
2010?2?,??,"6,310,913",9.3,"1,832,731,897",14.8,"2,704,885",29.5,"7,506,046,713",34.6,"3,606,028"
2010?3?,??,"10,015,794",12.4,"2,970,567,090",17.0,"4,217,600",34.5,"11,471,975,493",29.0,"5,798,194"
2010?4?,??,"13,593,048",12.0,"4,072,821,552",13.7,"5,738,382",38.7,"15,082,201,367",27.2,"7,854,666"
2010?5?,??,"17,118,170",12.7,"5,115,056,129",10.1,"7,233,674",39.1,"18,247,234,448",20.1,"9,884,496"
2010?6?,??,"20,580,150",11.4,"6,155,512,801",5.8,"8,981,704",43.4,"22,423,140,149",24.8,"11,598,446"
2010?7?,??,"24,230,129",10.5,"7,167,236,662",4.3,"10,727,370",43.0,"26,227,211,791",20.4,"13,502,759"
2010?8?,??,"27,900,976",11.6,"8,194,317,631",3.4,"12,330,150",41.3,"29,460,896,577",16.1,"15,570,826"
2010?9?,??,"31,794,674",12.0,"9,300,672,627",4.2,"13,886,173",36.1,"32,328,026,643",9.7,"17,908,501"
2010?10?,??,"36,296,721",13.8,"10,522,586,673",6.1,"15,610,669",32.9,"36,043,112,698",10.4,"20,686,052"
2010?11?,??,"40,779,910",15.5,"11,686,874,523",7.7,"17,479,718",33.4,"40,474,211,710",10.0,"23,300,192"
2010?12?,??,"44,936,988",16.7,"12,976,496,674",9.1,"19,295,459",32.5,"44,234,729,399",10.7,"25,641,529"
2009?,??,"38,509,962",-19.1,"11,888,924,079",1.2,"14,566,769",-31.8,"39,971,194,708",-14.9,"23,943,193"
2009?1?,??,"2,835,266",-33.2,"758,449,524",-20.4,"1,160,736",-30.9,"3,138,689,225",-29.3,"1,674,530"
2009?2?,??,"5,773,829",-28.4,"1,595,892,812",-16.0,"2,089,380",-32.9,"5,575,371,376",-30.2,"3,684,449"
2009?3?,??,"8,908,598",-27.5,"2,538,502,710",-12.3,"3,136,368",-34.8,"8,896,351,507",-24.4,"5,772,230"
2009?4?,??,"12,139,303",-26.2,"3,581,371,479",-9.1,"4,135,862",-38.4,"11,856,726,304",-27.2,"8,003,441"
2009?5?,??,"15,191,765",-25.3,"4,644,435,486",-6.4,"5,199,534",-39.9,"15,191,846,805",-25.2,"9,992,231"
2009?6?,??,"18,481,035",-23.9,"5,818,502,345",-3.3,"6,264,972",-40.9,"17,974,214,204",-25.8,"12,216,063"
2009?7?,??,"21,933,377",-23.6,"6,872,505,903",-3.1,"7,500,186",-40.5,"21,786,901,479",-22.6,"14,433,191"
2009?8?,??,"25,000,035",-23.6,"7,922,205,938",-1.7,"8,728,204",-40.0,"25,383,028,163",-20.9,"16,271,831"
2009?9?,??,"28,398,219",-23.8,"8,925,189,572",-1.9,"10,201,944",-38.2,"29,465,711,608",-17.2,"18,196,275"
2009?10?,??,"31,906,709",-23.7,"9,916,340,041",-1.4,"11,748,356",-36.4,"32,644,511,957",-18.1,"20,158,353"
2009?11?,??,"35,297,437",-21.6,"10,854,997,539",0.3,"13,102,991",-34.8,"36,809,819,466",-15.4,"22,194,446"
2009?12?,??,"38,509,962",-19.1,"11,888,924,079",1.2,"14,566,769",-31.8,"39,971,194,708",-14.9,"23,943,193"
2008?,??,"47,612,115",5.2,"11,743,864,376",36.0,"21,365,485",-18.3,"46,956,817,578",3.3,"26,246,630"
2008?1?,??,"4,242,815",18.9,"952,456,770",25.0,"1,679,226",-19.4,"4,438,181,342",28.4,"2,563,589"
2008?2?,??,"8,066,391",17.3,"1,900,821,821",32.4,"3,112,043",-21.7,"7,985,970,590",15.3,"4,954,348"
2008?3?,??,"12,293,523",18.5,"2,894,482,247",35.5,"4,806,997",-21.6,"11,775,257,838",15.9,"7,486,526"
2008?4?,??,"16,452,121",18.8,"3,939,355,509",39.3,"6,719,115",-20.2,"16,277,195,201",13.5,"9,733,006"
2008?5?,??,"20,331,703",17.5,"4,961,881,469",40.4,"8,649,024",-18.4,"20,319,960,316",13.1,"11,682,679"
2008?6?,??,"24,297,092",15.6,"6,014,130,308",41.8,"10,601,548",-17.0,"24,215,221,284",11.4,"13,695,544"
2008?7?,??,"28,702,396",15.3,"7,092,112,890",43.2,"12,613,993",-16.0,"28,164,421,923",9.9,"16,088,403"
2008?8?,??,"32,731,893",13.6,"8,057,676,336",42.0,"14,542,826",-15.8,"32,073,337,781",9.0,"18,189,067"
2008?9?,??,"37,288,441",14.3,"9,102,424,230",43.2,"16,513,495",-14.6,"35,597,163,859",7.3,"20,774,946"
2008?10?,??,"41,841,665",12.0,"10,056,262,460",40.6,"18,471,997",-15.6,"39,875,845,109",6.7,"23,369,668"
2008?11?,??,"45,040,534",8.0,"10,825,198,389",37.5,"20,082,820",-17.0,"43,487,243,460",5.5,"24,957,714"
2008?12?,??,"47,612,115",5.2,"11,743,864,376",36.0,"21,365,485",-18.3,"46,956,817,578",3.3,"26,246,630"
2007?,??,"45,266,164",14.5,"8,636,432,003",2.4,"26,166,777",7.0,"45,438,201,368",13.2,"19,099,387"
2007?1?,??,"3,569,706",6.3,"762,270,264",1.8,"2,082,500",12.3,"3,456,491,993",-3.8,"1,487,206"
2007?2?,??,"6,874,192",6.5,"1,435,129,981",-0.2,"3,975,224",6.5,"6,926,126,956",6.2,"2,898,968"
2007?3?,??,"10,372,702",6.4,"2,136,176,152",-1.9,"6,133,853",6.9,"10,157,647,087",6.1,"4,238,849"
2007?4?,??,"13,843,684",8.6,"2,827,430,622",-0.7,"8,424,674",10.0,"14,341,392,757",16.9,"5,419,010"
2007?5?,??,"17,307,124",9.0,"3,533,109,094",-0.5,"10,604,660",10.3,"17,969,752,868",18.4,"6,702,464"
2007?6?,??,"21,013,618",9.5,"4,242,722,088",-1.1,"12,779,686",8.6,"21,730,031,270",13.7,"8,233,932"
2007?7?,??,"24,884,369",11.3,"4,953,247,490",-0.5,"15,018,976",8.9,"25,615,953,216",13.0,"9,865,393"
2007?8?,??,"28,802,604",11.2,"5,673,507,111",-0.3,"17,270,402",8.9,"29,428,927,760",13.8,"11,532,202"
2007?9?,??,"32,615,761",10.1,"6,356,497,826",-1.4,"19,325,877",6.1,"33,173,095,482",9.3,"13,289,884"
2007?10?,??,"37,347,932",12.9,"7,150,594,906",0.8,"21,888,101",7.6,"37,382,707,462",12.0,"15,459,831"
2007?11?,??,"41,686,118",14.0,"7,874,459,707",1.5,"24,201,794",7.5,"41,205,344,991",12.0,"17,484,324"
2007?12?,??,"45,266,164",14.5,"8,636,432,003",2.4,"26,166,777",7.0,"45,438,201,368",13.2,"19,099,387"
2006?,??,"39,517,247",2.1,"8,434,658,212",2.5,"24,454,702",7.3,"40,130,361,247",1.1,"15,062,545"
2006?1?,??,"3,358,194",7.2,"748,717,124",3.2,"1,854,779",7.0,"3,594,255,958",6.0,"1,503,415"
2006?2?,??,"6,454,212",6.5,"1,437,469,471",6.0,"3,731,242",7.1,"6,521,512,333",-0.4,"2,722,970"
2006?3?,??,"9,745,823",3.7,"2,176,892,146",2.2,"5,737,964",2.0,"9,572,322,051",-13.8,"4,007,859"
2006?4?,??,"12,751,322",1.8,"2,846,359,749",3.2,"7,656,066",1.8,"12,266,563,168",-13.2,"5,095,256"
2006?5?,??,"15,880,893",1.4,"3,550,713,641",3.1,"9,612,717",1.1,"15,182,224,065",-10.9,"6,268,176"
2006?6?,??,"19,198,593",2.5,"4,288,459,621",5.4,"11,763,208",2.2,"19,105,899,342",-4.2,"7,435,385"
2006?7?,??,"22,357,079",2.3,"4,978,250,768",5.4,"13,786,187",3.4,"22,673,275,460",-3.7,"8,570,892"
2006?8?,??,"25,898,262",3.4,"5,691,262,670",5.7,"15,859,197",4.4,"25,855,051,756",-3.5,"10,039,065"
2006?9?,??,"29,625,608",4.0,"6,445,064,682",5.9,"18,208,495",6.3,"30,349,006,138",-0.3,"11,417,113"
2006?10?,??,"33,071,280",2.8,"7,091,142,861",4.7,"20,338,053",7.1,"33,363,587,317",0.5,"12,733,227"
2006?11?,??,"36,565,499",2.7,"7,758,728,284",3.8,"22,522,338",7.6,"36,780,744,828",-0.1,"14,043,161"
2006?12?,??,"39,517,247",2.1,"8,434,658,212",2.5,"24,454,702",7.3,"40,130,361,247",1.1,"15,062,545"
2005?,??,"38,709,171",14.0,"8,229,751,136",6.6,"22,789,309",4.7,"39,705,522,408",-4.7,"15,919,862"
2005?1?,??,"3,132,574",29.2,"725,580,020",16.3,"1,733,397",14.5,"3,389,394,717",-9.5,"1,399,177"
2005?2?,??,"6,063,078",23.7,"1,356,720,208",3.3,"3,485,118",9.9,"6,546,934,683",-1.7,"2,577,960"
2005?3?,??,"9,395,916",20.2,"2,129,348,517",6.6,"5,623,523",9.5,"11,106,808,053",10.8,"3,772,393"
2005?4?,??,"12,520,544",17.6,"2,758,648,089",7.2,"7,519,728",7.0,"14,131,524,074",1.7,"5,000,816"
2005?5?,??,"15,667,736",15.6,"3,445,131,159",8.1,"9,512,706",6.5,"17,042,439,355",-1.6,"6,155,030"
2005?6?,??,"18,731,009",13.2,"4,068,633,751",6.5,"11,505,413",6.7,"19,934,625,691",-4.0,"7,225,596"
2005?7?,??,"21,849,661",12.1,"4,721,305,075",6.2,"13,336,911",5.5,"23,553,402,900",-2.2,"8,512,750"
2005?8?,??,"25,040,189",12.3,"5,384,393,172",6.0,"15,197,336",5.9,"26,801,039,709",-1.8,"9,842,853"
2005?9?,??,"28,494,183",13.7,"6,087,177,223",6.8,"17,136,372",6.3,"30,434,575,411",-1.5,"11,357,811"
2005?10?,??,"32,158,792",14.8,"6,773,280,104",6.5,"18,988,775",5.4,"33,184,401,231",-4.5,"13,170,017"
2005?11?,??,"35,610,248",14.5,"7,477,720,180",6.4,"20,923,002",5.8,"36,828,962,604",-2.4,"14,687,246"
2005?12?,??,"38,709,171",14.0,"8,229,751,136",6.6,"22,789,309",4.7,"39,705,522,408",-4.7,"15,919,862"
2004?,??,"33,951,242",35.3,"7,722,649,466",7.8,"21,762,898",32.7,"41,644,565,448",7.3,"12,188,344"
2004?1?,??,"2,424,212",36.6,"624,011,742",13.4,"1,513,638",17.7,"3,747,049,344",7.9,"910,574"
2004?2?,??,"4,899,492",41.7,"1,313,653,223",22.2,"3,170,220",27.5,"6,657,654,657",2.1,"1,729,272"
2004?3?,??,"7,820,098",44.7,"1,996,917,260",23.2,"5,134,244",35.7,"10,026,451,324",1.2,"2,685,854"
2004?4?,??,"10,642,577",44.7,"2,573,027,823",18.2,"7,028,089",38.0,"13,890,951,477",7.4,"3,614,488"
2004?5?,??,"13,557,384",45.8,"3,187,781,671",17.1,"8,931,844",40.4,"17,320,340,608",10.8,"4,625,540"
2004?6?,??,"16,546,594",47.0,"3,820,326,532",15.0,"10,787,911",41.1,"20,761,897,419",10.1,"5,758,683"
2004?7?,??,"19,483,112",45.4,"4,445,440,786",12.4,"12,640,789",40.2,"24,092,074,876",6.4,"6,842,323"
2004?8?,??,"22,306,983",43.7,"5,079,072,161",11.2,"14,344,858",37.8,"27,290,471,118",6.9,"7,962,125"
2004?9?,??,"25,065,202",40.2,"5,699,642,292",10.0,"16,125,265",36.0,"30,897,064,078",6.2,"8,939,937"
2004?10?,??,"28,017,007",37.1,"6,360,940,330",8.1,"18,011,889",34.4,"34,731,511,024",7.5,"10,005,118"
2004?11?,??,"31,094,406",36.1,"7,024,796,583",8.0,"19,780,096",33.7,"37,715,317,156",6.8,"11,314,310"
2004?12?,??,"33,951,242",35.3,"7,722,649,466",7.8,"21,762,898",32.7,"41,644,565,448",7.3,"12,188,344"
2003?,??,"25,088,458",42.8,"7,164,405,434",21.2,"16,395,453",17.2,"38,815,547,424",-0.1,"8,693,005"
2003?1?,??,"1,774,503",35.4,"550,052,112",9.6,"1,285,475",26.7,"3,472,483,145",-1.6,"489,028"
2003?2?,??,"3,457,529",38.9,"1,075,118,634",11.2,"2,487,275",28.3,"6,520,880,079",-0.2,"970,254"
2003?3?,??,"5,405,020",49.3,"1,620,282,435",11.6,"3,784,732",27.1,"9,906,592,780",6.9,"1,620,288"
2003?4?,??,"7,355,117",48.0,"2,177,133,336",11.9,"5,092,269",22.7,"12,937,606,701",2.9,"2,262,848"
2003?5?,??,"9,301,108",44.1,"2,723,034,771",10.3,"6,363,040",20.5,"15,634,435,271",-2.6,"2,938,068"
2003?6?,??,"11,257,532",42.8,"3,320,936,573",12.5,"7,643,543",17.7,"18,851,078,693",0.7,"3,613,989"
2003?7?,??,"13,398,203",42.6,"3,955,125,119",14.8,"9,013,341",17.1,"22,641,135,742",2.5,"4,384,862"
2003?8?,??,"15,526,883",41.6,"4,566,576,632",16.5,"10,408,347",17.3,"25,532,224,139",-0.2,"5,118,536"
2003?9?,??,"17,882,328",41.9,"5,180,498,436",17.7,"11,857,766",17.9,"29,100,020,649",1.6,"6,024,562"
2003?10?,??,"20,430,881",42.6,"5,886,767,718",20.5,"13,403,320",19.0,"32,302,775,305",-0.1,"7,027,561"
2003?11?,??,"22,853,624",42.8,"6,505,853,775",21.2,"14,789,157",17.4,"35,310,919,380",0.3,"8,064,467"
2003?12?,??,"25,088,458",42.8,"7,164,405,434",21.2,"16,395,453",17.2,"38,815,547,424",-0.1,"8,693,005"
2002?,??,"17,565,775",21.5,"5,911,091,130",-5.5,"13,986,189",13.2,"38,845,195,065",8.5,"3,579,586"
2002?1?,??,"1,310,165",32.0,"501,683,530",4.8,"1,014,661",10.8,"3,528,510,247",258.4,"295,504"
2002?2?,??,"2,488,373",10.4,"966,482,088",-3.0,"1,938,894",2.6,"6,534,428,441",62.1,"549,479"
2002?3?,??,"3,619,186",4.7,"1,451,662,989",-5.6,"2,978,336",3.7,"9,267,010,588",17.7,"640,850"
2002?4?,??,"4,971,239",8.3,"1,945,150,154",-5.8,"4,150,866",10.6,"12,576,043,185",19.1,"820,373"
2002?5?,??,"6,454,791",11.8,"2,468,551,170",-6.2,"5,282,087",13.0,"16,049,836,780",17.9,"1,172,704"
2002?6?,??,"7,886,129",12.4,"2,952,401,978",-6.0,"6,493,138",14.5,"18,713,150,550",8.5,"1,392,991"
2002?7?,??,"9,394,725",14.9,"3,444,437,994",-6.7,"7,696,245",15.6,"22,083,756,822",5.7,"1,698,480"
2002?8?,??,"10,967,861",17.7,"3,918,381,647",-6.6,"8,870,836",14.0,"25,587,772,068",7.0,"2,097,025"
2002?9?,??,"12,604,163",19.4,"4,400,690,678",-7.3,"10,056,879",11.8,"28,636,986,161",7.5,"2,547,284"
2002?10?,??,"14,325,064",20.6,"4,884,020,088",-6.3,"11,264,746",10.3,"32,328,240,798",7.5,"3,060,318"
2002?11?,??,"16,003,067",20.7,"5,369,883,917",-6.2,"12,596,477",10.4,"35,197,388,808",6.9,"3,406,590"
2002?12?,??,"17,565,775",21.5,"5,911,091,130",-5.5,"13,986,189",13.2,"38,845,195,065",8.5,"3,579,586"
2025?,??,"7,056,783",-0.7,"545,234,885",-9.4,"3,331,564",19.3,"287,027,114",-6.9,"3,725,219"
2025?1?,??,"1,161,005",-22.0,"94,970,355",-30.6,"590,373",11.6,"55,749,299",-6.2,"570,632"
2025?2?,??,"2,476,072",-12.3,"205,321,700",-21.0,"1,251,675",21.2,"119,631,050",9.8,"1,224,397"
2025?3?,??,"3,813,656",-10.8,"315,428,299",-16.1,"1,967,972",19.3,"178,891,955",7.9,"1,845,684"
2025?4?,??,"5,459,775",-3.8,"438,459,558",-10.9,"2,628,897",20.2,"235,384,960",-1.1,"2,830,878"
2025?5?,??,"7,056,783",-0.7,"545,234,885",-9.4,"3,331,564",19.3,"287,027,114",-6.9,"3,725,219"
2024?,??,"15,552,135",-12.2,"1,299,316,061",-11.4,"7,404,801",3.9,"759,477,014",30.7,"8,147,334"
2024?1?,??,"1,487,959",4.0,"136,829,796",12.6,"529,017",-17.9,"59,421,006",29.3,"958,942"
2024?2?,??,"2,823,688",0.7,"260,045,291",3.1,"1,032,341",-11.1,"108,914,922",34.5,"1,791,347"
2024?3?,??,"4,277,214",-3.4,"375,760,003",-4.1,"1,649,750",-17.1,"165,820,872",30.0,"2,627,464"
2024?4?,??,"5,674,841",-3.1,"492,145,789",-5.5,"2,187,671",-13.1,"238,027,809",33.8,"3,487,170"
2024?5?,??,"7,109,446",-4.1,"601,943,348",-7.1,"2,793,702",-13.0,"308,258,813",33.6,"4,315,744"
2024?6?,??,"8,513,632",-5.1,"706,367,077",-8.5,"3,301,611",-12.5,"377,658,331",27.0,"5,212,021"
2024?7?,??,"9,897,920",-6.9,"825,175,958",-7.7,"3,898,819",-13.0,"437,960,667",26.5,"5,999,101"
2024?8?,??,"11,128,812",-8.7,"923,919,122",-8.0,"4,502,511",-11.8,"490,191,245",25.5,"6,626,301"
2024?9?,??,"12,217,635",-10.7,"1,011,761,554",-9.7,"5,106,365",-9.3,"550,878,195",25.9,"7,111,270"
2024?10?,??,"13,378,045",-10.9,"1,110,798,595",-9.7,"5,763,483",-6.5,"631,308,770",30.5,"7,614,562"
2024?11?,??,"14,356,924",-12.5,"1,197,163,372",-11.3,"6,455,800",-2.9,"695,930,009",31.2,"7,901,124"
2024?12?,??,"15,552,135",-12.2,"1,299,316,061",-11.4,"7,404,801",3.9,"759,477,014",30.7,"8,147,334"
2023?,??,"17,715,957",-1.3,"1,466,423,412",-0.8,"7,123,938",-26.7,"581,170,219",-22.5,"10,592,019"
2023?1?,??,"1,430,333",1.9,"121,529,431",-10.0,"644,411",0.9,"45,968,397",-46.2,"785,922"
2023?2?,??,"2,802,714",6.2,"252,310,832",0.9,"1,160,999",-14.3,"80,949,779",-40.1,"1,641,715"
2023?3?,??,"4,426,760",5.8,"391,658,756",0.9,"1,990,407",-6.5,"127,575,839",-33.8,"2,436,353"
2023?4?,??,"5,856,021",1.6,"520,669,826",-1.5,"2,517,559",-15.5,"177,935,579",-33.8,"3,338,462"
2023?5?,??,"7,410,160",0.4,"648,167,230",-3.1,"3,209,826",-15.8,"230,694,031",-32.3,"4,200,334"
2023?6?,??,"8,967,051",0.9,"771,791,934",-2.8,"3,774,660",-18.2,"297,289,251",-27.7,"5,192,391"
2023?7?,??,"10,626,701",0.1,"894,311,328",-3.9,"4,482,745",-18.7,"346,205,362",-29.7,"6,143,956"
2023?8?,??,"12,187,272",0.1,"1,004,805,970",-3.1,"5,103,186",-21.5,"390,700,267",-28.8,"7,084,086"
2023?9?,??,"13,680,046",0.7,"1,119,982,736",-2.4,"5,630,828",-24.7,"437,672,747",-27.3,"8,049,218"
2023?10?,??,"15,009,716",-0.2,"1,230,535,585",-2.3,"6,167,146",-25.1,"483,679,056",-25.0,"8,842,570"
2023?11?,??,"16,404,376",-1.1,"1,349,787,571",-1.5,"6,651,982",-25.5,"530,601,328",-23.7,"9,752,394"
2023?12?,??,"17,715,957",-1.3,"1,466,423,412",-0.8,"7,123,938",-26.7,"581,170,219",-22.5,"10,592,019"
2022?,??,"17,946,054",8.1,"1,478,765,871",-12.8,"9,714,389",20.7,"749,847,471",-7.0,"8,231,665"
2022?1?,??,"1,403,046",12.2,"135,056,055",1.3,"638,391",13.9,"85,398,930",29.1,"764,655"
2022?2?,??,"2,639,117",3.5,"249,989,235",-6.6,"1,354,584",18.9,"135,196,496",20.6,"1,284,533"
2022?3?,??,"4,182,737",3.8,"387,996,014",-9.1,"2,129,244",13.5,"192,764,531",3.9,"2,053,493"
