month,region,????,?????,????,???????,????,?????,????,???????,????
2020?10?,??,"1,605,563",-8.0,"4,854,347,554",-16.0,"2,632,339",-20.6,"11,689,753,921",-17.2,"-1,026,776"
2020?11?,??,"1,818,339",-4.7,"5,351,064,338",-15.8,"2,886,384",-20.9,"12,706,250,089",-17.7,"-1,068,045"
2020?12?,??,"2,023,271",-3.1,"5,965,340,775",-14.5,"3,148,914",-22.2,"13,873,897,472",-18.2,"-1,125,643"
2019?,??,"2,087,876",-0.4,"6,978,666,865",16.9,"4,048,874",-15.4,"16,969,452,998",-8.7,"-1,960,998"
2019?1?,??,"173,929",18.9,"636,473,496",86.8,"316,382",3.3,"1,527,249,040",27.1,"-142,453"
2019?2?,??,"326,170",11.0,"1,150,491,341",65.2,"660,771",4.1,"2,869,847,776",15.2,"-334,601"
2019?3?,??,"503,212",7.4,"1,483,005,519",44.0,"935,715",-9.2,"4,105,448,913",5.1,"-432,503"
2019?4?,??,"675,984",5.9,"1,899,663,085",40.6,"1,216,423",-13.4,"5,189,999,689",-3.4,"-540,439"
2019?5?,??,"856,377",5.0,"2,489,964,441",51.6,"1,528,708",-15.7,"6,667,324,065",-3.6,"-672,331"
2019?6?,??,"1,034,725",3.6,"3,151,973,382",42.2,"1,889,480",-15.2,"7,929,931,559",-8.2,"-854,755"
2019?7?,??,"1,217,129",2.9,"3,723,235,418",33.7,"2,228,659",-15.3,"9,515,545,092",-8.5,"-1,011,530"
2019?8?,??,"1,386,368",1.4,"4,415,712,048",30.9,"2,584,652",-12.9,"11,155,898,107",-7.3,"-1,198,284"
2019?9?,??,"1,554,148",0.9,"4,971,949,744",27.1,"2,967,922",-13.9,"12,634,951,215",-7.7,"-1,413,774"
2019?10?,??,"1,744,646",0.8,"5,777,716,785",23.5,"3,314,879",-15.5,"14,126,544,759",-7.6,"-1,570,233"
2019?11?,??,"1,907,906",-0.7,"6,357,421,990",20.2,"3,648,902",-16.4,"15,440,791,587",-9.4,"-1,740,996"
2019?12?,??,"2,087,876",-0.4,"6,978,666,865",16.9,"4,048,874",-15.4,"16,969,452,998",-8.7,"-1,960,998"
2018?,??,"2,096,951",17.6,"5,969,381,958",56.3,"4,788,379",38.3,"18,577,824,138",22.1,"-2,691,428"
2018?1?,??,"146,272",22.9,"340,646,780",-11.4,"306,164",17.5,"1,201,956,911",19.2,"-159,892"
2018?2?,??,"293,854",19.9,"696,470,837",-14.9,"634,570",10.8,"2,490,360,586",8.0,"-340,716"
2018?3?,??,"468,492",18.4,"1,029,635,803",-16.0,"1,030,091",23.8,"3,905,217,847",3.9,"-561,599"
2018?4?,??,"638,090",19.0,"1,350,939,060",-9.1,"1,405,447",32.5,"5,372,788,514",18.2,"-767,357"
2018?5?,??,"815,469",22.9,"1,642,084,818",-2.3,"1,813,387",38.7,"6,914,261,673",24.5,"-997,918"
2018?6?,??,"998,350",23.0,"2,216,265,718",10.2,"2,227,012",37.8,"8,634,212,972",23.8,"-1,228,662"
2018?7?,??,"1,182,695",23.8,"2,784,888,878",20.6,"2,630,547",37.4,"10,393,839,701",25.1,"-1,447,852"
2018?8?,??,"1,367,315",23.7,"3,372,432,244",30.8,"2,966,798",33.1,"12,039,715,613",23.5,"-1,599,483"
2018?9?,??,"1,540,359",18.8,"3,912,609,535",29.5,"3,446,695",35.6,"13,685,105,429",20.4,"-1,906,336"
2018?10?,??,"1,731,024",20.2,"4,679,439,322",39.8,"3,922,871",36.7,"15,280,217,468",17.8,"-2,191,847"
2018?11?,??,"1,920,553",18.9,"5,287,478,612",44.9,"4,365,872",37.9,"17,039,530,596",21.1,"-2,445,319"
2018?12?,??,"2,096,951",17.6,"5,969,381,958",56.3,"4,788,379",38.3,"18,577,824,138",22.1,"-2,691,428"
2017?,??,"1,782,759",7.4,"3,818,685,828",-29.9,"3,461,518",48.2,"15,217,270,236",52.6,"-1,678,759"
2017?1?,??,"119,036",1.3,"384,456,880",-15.6,"260,545",20.4,"1,008,640,177",21.0,"-141,509"
2017?2?,??,"245,021",8.2,"818,736,119",0.8,"572,673",38.3,"2,305,793,079",52.1,"-327,652"
2017?3?,??,"395,805",5.1,"1,225,644,146",-13.5,"832,206",28.6,"3,757,794,200",54.6,"-436,401"
2017?4?,??,"536,191",7.2,"1,486,815,275",-18.6,"1,060,493",30.0,"4,547,224,037",45.6,"-524,302"
2017?5?,??,"663,418",4.4,"1,680,695,197",-22.8,"1,307,738",31.6,"5,555,853,623",42.6,"-644,320"
