? ?? ?????  ???????(2020=100) [2020=100],,,,,,,
??-?????,??,????(???),????? ????(???),????? ????(???),????(????),????? ????(????),????? ????(????)
??,2016.12 ?,104.323,110.2,84.872,97.89,102.437,86.27
??,2017.01 ?,93.139,96.1,87.511,99.897,103.216,85.851
??,2017.02 ?,91.635,95.8,87.335,98.598,99.61,87.126
??,2017.03 ?,104.229,109.4,87.071,100.557,101.852,87.555
??,2017.04 ?,98.402,102.7,88.918,98.846,100.975,88.899
??,2017.05 ?,99.248,102.9,91.557,99.144,100.097,91.042
??,2017.06 ?,100,105.4,88.303,97.377,100.585,89.567
??,2017.07 ?,98.402,101.8,90.765,97.836,100.195,89.424
??,2017.08 ?,94.925,99.1,91.117,97.834,101.462,89.676
??,2017.09 ?,103.947,109,88.215,99.224,101.754,89.589
??,2017.10 ?,94.361,97.2,91.557,99.076,102.242,91.837
??,2017.11 ?,102.914,107.8,91.469,99.033,103.606,91.728
??,2017.12 ?,99.248,102.6,92.436,96.371,98.733,94.296
??,2018.01 ?,97.932,100.1,94.635,98.504,101.17,93.686
??,2018.02 ?,86.184,89.1,94.459,98.938,100.097,93.537
??,2018.03 ?,101.598,105.2,94.899,97.941,98.733,95.477
??,2018.04 ?,100.376,101.8,95.866,100.962,101.365,95.812
??,2018.05 ?,101.598,105.3,95.075,101.541,103.411,94.455
??,2018.06 ?,101.88,104.7,95.339,101.037,102.632,96.875
??,2018.07 ?,101.692,102.3,96.746,101.076,101.462,95.161
??,2018.08 ?,98.778,101.7,96.922,101.778,104.191,95.191
??,2018.09 ?,96.805,101,93.843,100.096,102.534,95.253
??,2018.10 ?,106.485,109.4,95.866,101.763,104.678,96.131
??,2018.11 ?,103.195,105.7,98.417,99.513,102.242,98.613
??,2018.12 ?,100.376,102.3,98.593,97.433,98.83,100.839
??,2019.01 ?,98.026,100.2,98.241,98.683,101.852,97.383
??,2019.02 ?,83.083,87.1,98.505,95.148,98.148,97.413
??,2019.03 ?,99.342,104.6,95.954,97.213,100.585,96.766
??,2019.04 ?,100.846,102.2,99.296,99.754,100.877,99.016
??,2019.05 ?,102.444,104.2,100.264,98.951,99.903,99.341
??,2019.06 ?,99.812,102.3,97.801,98.931,100.975,99.541
??,2019.07 ?,104.229,104.3,103.342,101.788,102.339,101.453
??,2019.08 ?,96.898,100.6,101.055,99.792,103.606,99.115
??,2019.09 ?,98.684,101.4,99.56,102.09,103.606,101.185
??,2019.10 ?,106.109,107.3,99.912,101.552,103.411,100.123
??,2019.11 ?,104.981,104.6,100,101.429,102.047,100.167
??,2019.12 ?,107.707,108.1,96.042,104.385,105.068,98.381
??,2020.01 ?,93.5,93.4,102.3,100.2,100.8,100.9
??,2020.02 ?,91.4,92,101.9,96.7,96.3,101.4
??,2020.03 ?,105.8,108.3,99.2,101.6,102.6,99.9
??,2020.04 ?,95.5,94.7,101.6,98,97.5,101.4
??,2020.05 ?,91.7,90.7,102.8,90.4,89.7,102
??,2020.06 ?,99.3,100.5,100.4,96.5,98,102.2
??,2020.07 ?,101,100.1,103.3,98.7,99.6,101.3
??,2020.08 ?,93.9,93.1,103.9,99.7,99.5,101.9
??,2020.09 ?,107.2,108.5,97.7,104.6,104.3,99.3
??,2020.10 ?,103.1,103.5,96.8,103.6,104.7,97.1
??,2020.11 ?,106.2,105.7,95.5,104.5,103.8,95.7
??,2020.12 ?,111.4,109.4,94.5,105.5,103.6,96.8
??,2021.01 ?,103,101.3,97.4,105.4,104.2,96.9
??,2021.02 ?,95.3,93.5,98.6,109.2,106,97.3
??,2021.03 ?,112.5,111.8,95.8,107.8,105.6,96.6
??,2021.04 ?,107.4,105.8,96.4,106.6,105.4,95.9
??,2021.05 ?,105.1,103.3,96.4,105.5,103.9,95.8
??,2021.06 ?,111.6,109.1,93.7,106.6,104.8,95.3
??,2021.07 ?,110.7,105.4,99.1,108.6,105.6,97.3
??,2021.08 ?,105.2,98.6,103.7,109.5,103.7,101.5
??,2021.09 ?,107.2,102.8,101.7,108.7,102.9,103.3
??,2021.10 ?,109.9,104,104.4,109.4,104,104.9
??,2021.11 ?,114.3,109.3,105.1,110.7,105.8,105.3
??,2021.12 ?,122.4,114.7,106.2,115.7,108.5,109.1
??,2022.01 ?,109.8,103.4,106.6,115.2,108.9,105.4
??,2022.02 ?,102.3,96.5,107.7,114,106.2,106.5
??,2022.03 ?,118.5,112,104.2,115.5,107.4,105.3
??,2022.04 ?,113.2,105.9,106,113.3,105.9,105.5
??,2022.05 ?,114.7,109.2,106,111.4,106.3,105
??,2022.06 ?,114.6,105.7,109.9,113,105,112.6
??,2022.07 ?,111.3,104.4,115.3,111.2,105.8,113
??,2022.08 ?,104.6,101.8,113.7,107.4,105.3,110.9
??,2022.09 ?,105.4,105.5,109.1,107,105.7,110.9
??,2022.10 ?,106.4,105.6,110.1,104,103.7,110.5
??,2022.11 ?,108,104.1,114.4,104.4,101.2,114.3
??,2022.12 ?,108.7,108.3,111.7,99.8,99.9,114.7
??,2023.01 ?,95.2,93.9,118.7,102,100.7,116.6
??,2023.02 ?,95.5,96.4,118.2,101.4,101.5,116.9
??,2023.03 ?,111.7,112.3,114.7,106.4,105.7,116.1
??,2023.04 ?,103.6,100.2,122.6,104.5,101.5,122.4
??,2023.05 ?,108.4,106.4,123.3,108.5,106.6,122.3
??,2023.06 ?,109.7,111.5,113.4,106.2,109.1,116.8
??,2023.07 ?,103.9,99.8,119.6,104,101.4,116.9
??,2023.08 ?,106.1,100.7,123.6,108.7,104,120
??,2023.09 ?,110.3,109.1,115.7,111.1,107.9,118.6
